City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Saint-Philippe,RE,78.8,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
12,Jamestown,SH,71.44,broken clouds,-15.94,-5.72,Consulate
13,Rio Grande,BR,75.2,broken clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
15,Umluj,SA,72.43,few clouds,25.02,37.27,Moon light Furnished Units
18,Bīdar,IN,88.41,scattered clouds,17.9,77.55,Kaveri Hotel
19,Chicama,PE,71.6,fog,-7.84,-79.15,Hospedaje Punta Cana PERU
23,Beira,MZ,78.8,few clouds,-19.84,34.84,Beira Terrace Hotel
24,Hualmay,PE,75.33,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
25,Carnarvon,AU,78.8,clear sky,-24.87,113.63,Hospitality Carnarvon
26,Bambous Virieux,MU,81.0,light rain,-20.34,57.76,Casa Tia Villa
28,Paptalaya,HN,86.0,scattered clouds,15.5,-84.32,Hotel Tawa Tawa
30,Āsosa,ET,81.18,overcast clouds,10.07,34.53,Blendana Hotel Assosa
31,Antofagasta,CL,73.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
35,São José da Coroa Grande,BR,84.16,clear sky,-8.9,-35.15,Crôa Mares Hotel
36,Kutum,SD,79.25,few clouds,14.2,24.67,Dibbo areaمنطقة دبو
37,Luangwa,ZM,72.43,few clouds,-15.62,30.42,Gerasimos Safari Lodge
39,Mar del Plata,AR,77.0,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata
41,Merowe,SD,81.99,clear sky,18.48,31.82,Merowe Tourist Village
43,Le Port,RE,77.0,light rain,-20.94,55.29,Villa Maido
44,Kodīnar,IN,78.46,clear sky,20.79,70.7,"Hotel Krishna Park, Kodinar"
45,Nicoya,CR,89.6,clear sky,10.15,-85.45,Guayacan Real
46,Souillac,MU,80.6,light rain,-20.52,57.52,Bils' Villa
47,General Roca,AR,78.8,clear sky,-39.03,-67.58,Hotel y Casino del Río General Roca
51,Praia,CV,86.0,clear sky,14.92,-23.51,LT Aparthotel
52,Mahébourg,MU,80.6,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
57,Sikonge,TZ,80.6,light rain,-5.63,32.77,Daukilo Lodge
58,Bubaque,GW,76.53,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
60,General Pico,AR,78.1,clear sky,-35.66,-63.76,Hotel Malargue
63,Tocopilla,CL,72.43,scattered clouds,-22.09,-70.2,Hotel Galvarino
64,Harper,LR,83.57,broken clouds,4.38,-7.72,Screensaver
65,Chui,UY,75.02,broken clouds,-33.7,-53.46,Nuevo Hotel Plaza
67,Coari,BR,86.36,overcast clouds,-4.08,-63.14,HOTEL ALEX FLAT
68,Dolores,AR,74.62,broken clouds,-36.31,-57.68,Apart Hotel - Arianos
69,Tripoli,LY,79.16,overcast clouds,32.88,13.19,Al Waddan Hotel
71,Santa Rosa,AR,77.76,few clouds,-36.62,-64.28,Hotel Calfucurá
73,Conceição do Araguaia,BR,88.23,scattered clouds,-8.26,-49.26,Tarumã Tropical Hotel
76,Ailigandí,PA,79.83,overcast clouds,9.23,-78.02,Akwa Reef Lodge
78,Victoria,SC,84.2,few clouds,-4.62,55.45,Hilton Seychelles Northolme Resort & Spa
80,Arraial do Cabo,BR,82.4,scattered clouds,-22.97,-42.03,Pousada Porto Praia
82,Cape Town,ZA,73.0,clear sky,-33.93,18.42,Southern Sun Cape Sun
85,Kollam,IN,84.2,haze,8.88,76.6,Nani Hotels and Resorts
87,Matara,LK,78.71,clear sky,5.95,80.54,Amaloh Boutique Resort
88,Bathsheba,BB,86.0,few clouds,13.22,-59.52,Atlantis Hotel
90,Warri,NG,86.45,broken clouds,5.52,5.75,BON Hotel Delta
91,Omboué,GA,79.74,overcast clouds,-1.57,9.26,Hotel Olako
93,Cajati,BR,78.51,broken clouds,-24.74,-48.12,Hotel Cortesia
96,Itarema,BR,85.8,scattered clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
97,Najrān,SA,84.2,clear sky,17.49,44.13,محمد هادي ال فطيح
99,Ponta do Sol,CV,75.2,broken clouds,17.2,-25.09,Residencial Ponta do Sol - Sintanton Trekking i
106,Bela Cruz,BR,87.03,light rain,-3.05,-40.17,Priva’s
109,Ubari,LY,80.8,clear sky,26.59,12.78,فندق أوباري
111,Mahajanga,MG,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
112,Bilma,NE,84.04,clear sky,18.69,12.92,Expeditions Ténére voyages
113,Buchanan,LR,89.6,haze,5.88,-10.05,Kamaneahn Hotel Inc
114,Natal,BR,84.2,light rain,-5.79,-35.21,Hotel Natal
117,Rurrenabaque,BO,84.2,broken clouds,-14.44,-67.53,Casa de Campo
120,Rawson,AR,79.18,clear sky,-43.3,-65.1,Hosteria Sampedro
125,Salinópolis,BR,79.57,overcast clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
133,Carutapera,BR,82.87,broken clouds,-1.2,-46.02,Lidera
135,Uruçuí,BR,86.47,broken clouds,-7.23,-44.56,Hotel Premium Piauí
139,Hithadhoo,MV,83.75,broken clouds,-0.6,73.08,Scoop Guest House
140,Miraflores,CO,84.27,overcast clouds,1.34,-71.95,Miraflores
142,Meulaboh,ID,77.02,heavy intensity rain,4.14,96.13,Kost Pria
143,Kulhudhuffushi,MV,83.77,few clouds,6.62,73.07,Haajy Guest House 1
150,Tobatí,PY,87.8,clear sky,-25.25,-57.07,Hotel Vista Serrana
155,Georgetown,SH,79.72,overcast clouds,-7.93,-14.42,Scout's Beach Hut Campsite
156,Santiago del Estero,AR,82.9,broken clouds,-27.8,-64.26,Apartamentos Castelli 90
159,Cerrito,PY,81.72,clear sky,-27.32,-57.67,POSADA QUATI
162,Canavieiras,BR,87.8,few clouds,-15.68,-38.95,Bahiadomizil
164,Richards Bay,ZA,72.41,broken clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
165,Pisco,PE,77.0,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
166,Esmeraldas,EC,86.0,broken clouds,-1.87,-79.8,Hda La Fé SALITRE
168,Porbandar,IN,80.62,clear sky,21.64,69.61,Lords Inn Porbandar
174,Puerto Madryn,AR,78.53,few clouds,-42.77,-65.04,Hotel Tolosa
176,Itaituba,BR,89.6,scattered clouds,-4.28,-55.98,Hotel Campos
177,Oranjestad,AW,84.2,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
179,San Cristobal,EC,86.0,few clouds,-0.9,-89.62,Hotel los Algarrobos
180,Santa Lucía,ES,70.0,few clouds,27.91,-15.54,Las Tirajanas
187,Port Blair,IN,79.32,overcast clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
191,Bonthe,SL,84.88,broken clouds,7.53,-12.51,Bonthe Holiday Village
197,Trinidad,CU,80.6,scattered clouds,21.8,-79.98,Hostal Casa Sra Teresa
199,Tāybād,IR,75.49,overcast clouds,34.74,60.78,لی پوش jean center
201,Basoko,CD,76.24,overcast clouds,1.24,23.62,Flat Hotel La Benediction
206,Parintins,BR,87.03,light rain,-2.63,-56.74,Cama e Cafe
208,Bulawayo,ZW,70.11,few clouds,-20.15,28.58,4 On Housman Backpackers
213,San Rafael,AR,79.32,clear sky,-34.62,-68.33,Hotel San Rafael
215,Cidreira,BR,75.25,clear sky,-30.18,-50.21,Hotel Castelo
221,Oddur,SO,81.82,overcast clouds,4.12,43.89,Banjanay Hotel
223,Vilhena,BR,82.4,scattered clouds,-12.74,-60.15,Hotel Mirage
229,Eyl,SO,81.01,clear sky,7.98,49.82,DAAWAD HOTEL EYL
233,El Alto,PE,82.4,clear sky,-4.27,-81.21,Black Marlin Restaurant & Hospedaje
235,Inhambane,MZ,80.6,few clouds,-23.86,35.38,Oceano
238,Arrecife,ES,71.6,scattered clouds,28.96,-13.55,Hotel Lancelot
240,San Jose,BO,84.2,broken clouds,-17.94,-63.35,Hotel Los Cedros
241,Barcelos,BR,84.25,overcast clouds,-0.97,-62.92,Barco Hotel Princesa Amazonia
242,Rocha,UY,72.77,overcast clouds,-34.48,-54.33,Beleza Pura B&B
244,Grand-Santi,GF,82.76,broken clouds,4.25,-54.38,Hotel La Villa Couacou
245,Cayenne,GF,86.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
246,Consolación del Sur,CU,84.11,clear sky,22.5,-83.51,Cuarto de alquiler
249,Tacuarembó,UY,78.49,clear sky,-31.73,-55.98,Complejo San Fructuoso
251,São Miguel do Araguaia,BR,83.71,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
254,Conakry,GN,87.8,haze,9.54,-13.68,Riviera Royal Hotel
258,Nouakchott,MR,87.8,clear sky,18.09,-15.98,HOTEL IMAN فندق إيمان
261,Alibag,IN,82.4,haze,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
267,Paraná,AR,84.0,broken clouds,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
269,Clearwater,US,71.01,clear sky,27.97,-82.8,Shephard's Beach Resort
270,Grão Mogol,BR,79.02,overcast clouds,-16.56,-42.89,Pousada do Eti
272,Misratah,LY,81.64,overcast clouds,32.38,15.09,فندق الماسة
281,Cururupu,BR,87.3,overcast clouds,-1.83,-44.87,Pousada Través'cia
283,Nuquí,CO,81.48,moderate rain,5.71,-77.27,Hotel Nuquimar
284,Mogadishu,SO,82.35,broken clouds,2.04,45.34,Olympic Hotel
285,Nísia Floresta,BR,84.2,broken clouds,-6.09,-35.21,Rancho Crepusculo
288,Touros,BR,84.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
295,Hambantota,LK,79.93,clear sky,6.12,81.12,Bungalow 63
298,Dalbandin,PK,83.52,clear sky,28.89,64.41,Police station anti NARCOTICS FORCE
299,San Andrés,CO,86.0,scattered clouds,12.58,-81.7,Hotel Arena Blanca
302,Kismayo,SO,83.01,broken clouds,-0.36,42.55,Agan-Hotel
304,Ejido,VE,78.69,overcast clouds,8.55,-71.24,Bora Bora Nails & Spa C.A.
305,Cotonou,BJ,86.0,haze,6.37,2.42,Novotel Cotonou Orisha
307,Gambēla,ET,87.6,broken clouds,8.25,34.58,Solomon Debebe Hotel
308,Cristalina,BR,77.65,overcast clouds,-16.77,-47.61,HOTEL TOPAZIO
310,Alta Floresta,BR,85.57,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
317,Paramonga,PE,75.06,broken clouds,-10.67,-77.83,HOSTAL MI CHALET - PARAMONGA
322,Quatre Cocos,MU,81.0,light rain,-20.21,57.76,Emeraude Beach Attitude Hotel
324,Yenagoa,NG,85.77,broken clouds,4.92,6.26,Amba Hotels Limited
326,Pitimbu,BR,82.4,broken clouds,-7.47,-34.81,Reserva do Abiaí
327,Boa Vista,BR,89.6,broken clouds,2.82,-60.67,Aipana Plaza Hotel
328,Saint-Pierre,RE,78.8,light rain,-21.34,55.48,Lindsey Hôtel
331,São João da Barra,BR,84.2,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
332,Mbanza-Ngungu,CD,72.61,moderate rain,-5.25,14.87,Hotel Full Business
333,Viedma,AR,80.6,light rain,-40.81,-63.0,Hotel Cristal
336,Kaputa,ZM,72.72,light rain,-8.47,29.66,Chelelwa Charlets
343,Belmonte,BR,87.8,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
345,Cobija,BO,76.19,overcast clouds,-11.03,-68.77,Hotel Obelisco
346,Salalah,OM,82.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
347,Conceição do Mato Dentro,BR,76.39,overcast clouds,-19.04,-43.42,Hotel Vista Inn
348,Sabha,LY,78.73,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
349,Bariloche,AR,70.0,clear sky,-41.15,-71.31,Hotel Patagonia
357,Conde,BR,82.4,broken clouds,-7.26,-34.91,Pousada Beija Flor
358,Porto Nacional,BR,87.8,scattered clouds,-10.71,-48.42,Vila Real Hotel
365,Reconquista,AR,81.79,scattered clouds,-29.15,-59.65,Grand Hotel
369,Santa Maria,CV,77.0,broken clouds,16.6,-22.9,Porta Do Vento
370,São Félix do Xingu,BR,87.44,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
371,Trairi,BR,85.66,broken clouds,-3.28,-39.27,janelas do mar
375,Necochea,AR,78.01,broken clouds,-38.55,-58.74,dyd -mar Hotel
382,Oistins,BB,86.0,few clouds,13.07,-59.53,Butterfly Beach Hotel
385,Sur,OM,85.93,clear sky,22.57,59.53,Sur Plaza Hotel
390,Port-Gentil,GA,80.6,few clouds,-0.72,8.78,Fengshui Residence
391,São Sebastião,BR,76.55,scattered clouds,-23.76,-45.41,Hotel Recanto dos Pássaros
392,Mercedes,AR,80.01,overcast clouds,-34.65,-59.43,Posada del Inti Centro
393,Orán,AR,73.99,overcast clouds,-23.13,-64.33,Hotel Residencial Centro
395,Jérémie,HT,79.84,few clouds,18.65,-74.12,Auberge’Inn
396,Maputo,MZ,75.2,broken clouds,-25.97,32.59,Pestana Rovuma
398,Esim,GH,83.19,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
399,Guna,IN,82.0,clear sky,24.65,77.32,Hotel G K Jain
404,Makueni Boma,KE,75.06,overcast clouds,-1.8,37.62,PERMA HOTEL
408,Bandarbeyla,SO,80.37,scattered clouds,9.49,50.81,JABIR HOTEL
411,San Lorenzo,AR,86.0,broken clouds,-28.13,-58.77,"Establecimiento ""Don Martin"""
414,May Pen,JM,82.4,broken clouds,17.96,-77.25,Mus Com Bac
416,São Filipe,CV,75.49,few clouds,14.9,-24.5,Tortuga B&B
426,Rio Branco,BR,82.4,broken clouds,-9.97,-67.81,João Paulo Hotel
428,Tibati,CM,86.67,overcast clouds,6.47,12.63,Tibati Hotel
429,Quelimane,MZ,80.6,few clouds,-17.88,36.89,Hotel Flamingo
432,Leon,ES,70.0,clear sky,42.67,-6.0,Casa rural Tío Vicente
436,Puerto Padre,CU,77.0,broken clouds,21.2,-76.6,Hotel Plaza
437,Grand Gaube,MU,81.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
438,Imbituba,BR,75.2,scattered clouds,-28.24,-48.67,Praia Hotel Imbituba
444,Manaus,BR,89.6,scattered clouds,-3.1,-60.02,Manaus Hotéis Millennium
445,Keshod,IN,77.29,clear sky,21.3,70.25,Hotel New Rajdhani
449,Caucayá,CO,79.48,overcast clouds,-0.19,-74.78,la casona de juancho
452,Geraldton,AU,75.2,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
454,Mangla,PK,70.72,few clouds,31.89,72.38,Rana Tariq Aziz House
458,Dwārka,IN,81.05,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
461,Santa Fe,CU,78.8,scattered clouds,23.13,-82.26,Teresa y Fernando
463,Khuzdar,PK,78.08,clear sky,27.74,66.64,jhalwan Rent A Car Moola Chotok Boking Office
469,Doumé,CM,82.58,overcast clouds,4.23,13.45,Hotel Universel
472,Ugoofaaru,MV,83.64,few clouds,5.67,73.0,Ungoofaaru Inn
474,Aquiraz,BR,89.01,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
477,Boueni,YT,82.4,broken clouds,-12.9,45.08,Santal Logis
478,Nueve de Julio,AR,81.0,few clouds,-35.44,-60.88,Grand Hotel Libertad - GHL
481,Chimoré,BO,78.15,overcast clouds,-16.98,-65.13,Bichito
482,Hazaribagh,IN,74.89,clear sky,23.98,85.35,Capital O 46318 Sri Vinayak Deluxe
484,Makkah al Mukarramah,SA,77.22,clear sky,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
485,North Fort Myers,US,75.0,scattered clouds,26.67,-81.88,Best Western Fort Myers Waterfront
490,Bānsdīh,IN,79.74,clear sky,25.88,84.22,Appu alli
493,Mala,PE,75.25,broken clouds,-12.66,-76.63,Hotel Granda
494,Diu,IN,78.08,clear sky,20.71,70.98,Hotel Relax Inn
495,Aswān,EG,74.1,clear sky,24.09,32.91,Nuba Nile
499,Pizarro,CO,82.49,overcast clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
500,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
501,Humberto de Campos,BR,88.9,scattered clouds,-2.6,-43.46,Pousada do Cabeça
504,Puerto Gaitán,CO,86.27,overcast clouds,4.31,-72.08,Brisas del Yucao
505,Kavaratti,IN,83.07,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
506,Kanye,BW,73.81,clear sky,-24.97,25.33,The Savanna Lodge
508,Mwadui,TZ,73.13,light rain,-3.55,33.6,Williamson Guest House
509,Bagadó,CO,82.06,overcast clouds,5.41,-76.42,Estacion De Policia Bagado
510,Francisco Beltrão,BR,81.93,clear sky,-26.08,-53.05,Cristal Palace Hotel
513,Benguela,AO,79.56,moderate rain,-12.58,13.41,Hotel Praia Morena
514,Sambava,MG,78.44,light rain,-14.27,50.17,Melrose
520,Cap Malheureux,MU,81.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
521,Monrovia,LR,89.6,haze,6.3,-10.8,Eco-Hotel Hall & Restaurant
527,Fougamou,GA,80.13,overcast clouds,-1.22,10.58,Résidence d'Hôtes Bapedy
534,Taltal,CL,70.05,scattered clouds,-25.4,-70.48,Residencial Karime
535,Ibrā’,OM,84.16,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
536,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Hotel Pigalle
538,Puerto Nariño,CO,86.0,scattered clouds,-3.77,-70.38,Eware Refugio Amazonico
542,Zemio,CF,84.45,overcast clouds,5.03,25.14,OCHA Office
545,Micoud,LC,84.2,broken clouds,13.82,-60.9,Zamacà
546,Hobyo,SO,83.21,clear sky,5.35,48.53,Halane Hotel and Restaurent
547,Bunia,CD,70.02,light rain,1.57,30.25,Gold Star International Hotel
549,Soyo,AO,78.1,moderate rain,-6.13,12.37,Hotel Mpampa
550,Kalmunai,LK,80.2,scattered clouds,7.42,81.82,VS Villa
554,Shakawe,BW,75.24,clear sky,-18.37,21.85,Ditlhapi Guest House
557,Paita,PE,82.4,clear sky,-5.09,-81.11,Hotel Náutico de Paita
558,Jalu,LY,73.78,clear sky,29.03,21.55,صاحبة الفخامة
564,Lucea,JM,78.01,broken clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
567,Teguise,ES,71.6,scattered clouds,29.06,-13.56,B&B La Casona de Nazaret
568,Mossamedes,AO,77.95,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
573,Edéia,BR,88.93,broken clouds,-17.34,-49.93,Hotel Imperial Edeia
574,Ambilobe,MG,75.97,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
575,Ratnagiri,IN,78.75,scattered clouds,16.98,73.3,Hotel Landmark
577,Guarujá,BR,82.0,broken clouds,-23.99,-46.26,Charme Hotel Guarujá
578,Kāndri,IN,87.8,haze,21.42,79.27,OYO 69410 Sip & Bite Restaurant N Lodging
584,Boca do Acre,BR,84.16,overcast clouds,-8.75,-67.4,Hotel Linhares
586,Chikhli,IN,86.4,few clouds,20.35,76.25,Madarsa Block
589,Road Town,VG,84.2,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
593,Venice,US,72.0,haze,27.1,-82.45,Ramada by Wyndham Venice Hotel Venezia
594,Moa,CU,74.7,overcast clouds,20.66,-74.94,Viviannis Olivero Acosta
596,Ouro Preto do Oeste,BR,83.55,broken clouds,-10.75,-62.22,Graúna Resort Hotel
599,Banda Aceh,ID,80.26,broken clouds,5.56,95.32,Sulthan Hotel International
600,Porto Novo,CV,75.2,broken clouds,17.02,-25.06,Residencial Nova Cidade
601,Sirte,LY,78.98,few clouds,31.21,16.59,الهادي ابوشعاله سرت
604,Vila Velha,BR,82.99,few clouds,-20.33,-40.29,Quality Suites Vila Velha
606,Iracoubo,GF,79.54,moderate rain,5.48,-53.2,Le Gite D Iracoubo
611,Itacaré,BR,87.8,few clouds,-14.28,-39.0,Ecoporan Hotel Charme Spa & Eventos
612,Bull Savanna,JM,81.55,few clouds,17.89,-77.59,Big Red's
614,Saint-Leu,RE,78.8,light rain,-21.15,55.28,La Caz Oceane
621,Morondava,MG,78.89,light rain,-20.28,44.28,La Case Bambou
622,La Puebla de Cazalla,ES,71.6,scattered clouds,37.22,-5.31,Hostal Restaurante Los Ángeles
626,Sumbe,AO,81.81,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
627,Bluefields,NI,86.0,scattered clouds,12.01,-83.76,Nicaraguan Typical House Downtown
628,Iralaya,HN,86.0,scattered clouds,15.0,-83.23,Iglesia morava renovada
632,Maceió,BR,86.0,broken clouds,-9.67,-35.74,Poutur Pousada
637,Saint-François,GP,84.2,scattered clouds,16.25,-61.27,La Cocoteraie - Guadeloupe (by Popinns)
639,Laguna,BR,74.86,few clouds,-28.48,-48.78,Ravena Cassino Hotel
641,Sidrolândia,BR,87.8,scattered clouds,-20.93,-54.96,hotel cisne azul
645,Barranca,PE,74.79,broken clouds,-10.75,-77.77,El Olivar Hospedaje
646,Dumka,IN,83.03,clear sky,24.27,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
647,Mahanoro,MG,76.01,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
649,Antalaha,MG,76.24,light rain,-14.9,50.28,Hotel Vitasoa
651,Kāmāreddi,IN,86.36,scattered clouds,18.32,78.35,Osman Residency
658,Yumbe,UG,70.57,broken clouds,3.47,31.25,PRAFORD HOTEL
663,Dhidhdhoo,MV,83.93,scattered clouds,6.88,73.1,Dhidhoo beach
665,Lamu,KE,84.2,broken clouds,-2.27,40.9,Lamu House
668,Charagua,BO,71.6,overcast clouds,-19.8,-63.22,Residencial Luismar
669,Diffa,NE,87.51,clear sky,13.32,12.61,ProDAF/Diffa
670,Sinnamary,GF,80.87,heavy intensity rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
677,Huarmey,PE,75.25,scattered clouds,-10.07,-78.15,Hotel Miramar
680,Key Largo,US,72.0,overcast clouds,25.09,-80.45,Bayside Inn Key Largo
681,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
682,Cockburn Town,BS,70.52,overcast clouds,24.03,-74.52,Club Med Columbus - Bahamas
686,Nārsingi,IN,89.01,scattered clouds,18.03,78.43,Sri sai ram hotel
689,Kharan,PK,84.78,clear sky,28.58,65.42,Ghani Hasrat House
696,Les Cayes,HT,84.15,few clouds,18.2,-73.75,Villa Orphee
