,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
468,Tacoronte,ES,28.48,-16.41,66.99,67,40,11.5,scattered clouds
469,Doumé,CM,4.23,13.45,82.58,26,85,2.33,overcast clouds
470,Manicoré,BR,-5.81,-61.3,91.31,50,89,3.76,overcast clouds
471,Kasongo-Lunda,CD,-6.47,16.82,75.45,89,99,0.98,light rain
472,Ugoofaaru,MV,5.67,73.0,83.64,71,17,10.71,few clouds
473,Golpāyegān,IR,33.45,50.29,48.22,24,0,19.8,clear sky
474,Aquiraz,BR,-3.9,-38.39,89.01,70,40,19.57,scattered clouds
475,Sørland,NO,67.67,12.69,40.62,81,100,23.2,overcast clouds
476,Orbetello,IT,42.44,11.22,59.0,100,90,6.91,fog
477,Boueni,YT,-12.9,45.08,82.4,78,75,4.61,broken clouds
478,Nueve de Julio,AR,-35.44,-60.88,81.0,43,15,3.0,few clouds
479,Gander,CA,48.97,-54.59,57.2,58,40,14.97,scattered clouds
480,Kashan,IR,33.98,51.44,63.66,12,0,30.24,clear sky
481,Chimoré,BO,-16.98,-65.13,78.15,72,100,1.57,overcast clouds
482,Hazaribagh,IN,23.98,85.35,74.89,7,0,5.91,clear sky
483,Níjar,ES,36.97,-2.21,66.2,77,20,9.22,few clouds
484,Makkah al Mukarramah,SA,21.43,39.83,77.22,35,10,10.78,clear sky
485,North Fort Myers,US,26.67,-81.88,75.0,40,40,17.27,scattered clouds
486,Knysna,ZA,-34.04,23.05,66.2,59,0,8.05,clear sky
487,Ayagoz,KZ,47.97,80.44,34.16,59,0,10.16,clear sky
488,Dobele,LV,56.62,23.28,39.2,65,0,8.05,clear sky
489,Maniitsoq,GL,65.42,-52.9,22.05,49,36,6.44,scattered clouds
490,Bānsdīh,IN,25.88,84.22,79.74,5,0,6.6,clear sky
491,Gainesville,US,29.65,-82.32,69.01,45,1,9.22,clear sky
492,Pavlohrad,UA,48.52,35.87,41.0,75,0,4.21,clear sky
493,Mala,PE,-12.66,-76.63,75.25,71,64,7.31,broken clouds
494,Diu,IN,20.71,70.98,78.08,80,3,9.64,clear sky
495,Aswān,EG,24.09,32.91,74.1,12,2,10.83,clear sky
496,Menongue,AO,-14.66,17.69,69.89,72,98,3.6,overcast clouds
497,Isfana,KG,39.84,69.53,51.8,50,40,11.18,scattered clouds
498,Greeneville,US,36.16,-82.83,52.0,29,1,4.61,clear sky
499,Pizarro,CO,4.95,-77.37,82.49,74,100,5.64,overcast clouds
500,The Valley,AI,18.22,-63.06,86.0,65,20,16.11,few clouds
501,Humberto de Campos,BR,-2.6,-43.46,88.9,58,34,7.78,scattered clouds
502,Sayyan,YE,15.17,44.32,64.78,26,11,3.42,few clouds
503,Chapais,CA,49.78,-74.85,28.4,29,1,4.61,clear sky
504,Puerto Gaitán,CO,4.31,-72.08,86.27,57,95,2.26,overcast clouds
505,Kavaratti,IN,10.57,72.64,83.07,61,97,8.48,overcast clouds
506,Kanye,BW,-24.97,25.33,73.81,29,1,7.54,clear sky
507,Charleston,US,32.78,-79.93,60.01,23,1,11.5,clear sky
508,Mwadui,TZ,-3.55,33.6,73.13,71,90,7.11,light rain
509,Bagadó,CO,5.41,-76.42,82.06,84,100,2.39,overcast clouds
510,Francisco Beltrão,BR,-26.08,-53.05,81.93,44,0,0.51,clear sky
511,Moussoro,TD,13.64,16.49,91.54,9,51,11.03,broken clouds
512,Vysotskoye,RU,45.02,42.91,48.2,71,40,15.66,scattered clouds
513,Benguela,AO,-12.58,13.41,79.56,89,98,4.92,moderate rain
514,Sambava,MG,-14.27,50.17,78.44,86,20,9.55,light rain
515,Elbistan,TR,38.21,37.2,49.39,59,25,4.18,scattered clouds
516,Roald,NO,62.58,6.13,44.6,70,90,19.57,overcast clouds
517,Grindavik,IS,63.84,-22.43,42.8,93,90,32.21,light rain
518,Agadez,NE,19.75,10.25,82.51,7,30,8.81,scattered clouds
519,Notodden,NO,59.56,9.26,50.0,44,3,1.32,clear sky
520,Cap Malheureux,MU,-19.98,57.61,81.0,77,3,5.01,clear sky
521,Monrovia,LR,6.3,-10.8,89.6,66,20,5.75,haze
522,Tessalit,ML,20.2,1.01,92.84,4,16,10.6,few clouds
523,Nara,ML,15.17,-7.29,102.85,3,25,12.01,scattered clouds
524,Várzea Grande,BR,-15.65,-56.13,91.4,55,40,2.3,scattered clouds
525,Itupiranga,BR,-5.13,-49.33,91.4,62,40,3.44,scattered clouds
526,Ballangen,NO,68.34,16.83,39.99,93,75,23.02,light rain
527,Fougamou,GA,-1.22,10.58,80.13,84,98,2.3,overcast clouds
528,Douglas,US,41.3,-96.17,68.0,32,1,5.75,clear sky
529,Camabatela,AO,-8.19,15.38,67.15,93,99,1.05,moderate rain
530,Chekmagush,RU,55.13,54.66,33.87,99,100,6.93,overcast clouds
531,Los Llanos de Aridane,ES,28.66,-17.92,68.0,60,40,11.5,scattered clouds
532,Katiola,CI,8.13,-5.1,91.4,52,40,6.91,scattered clouds
533,Cumberland,US,35.05,-78.87,57.99,25,1,5.75,clear sky
534,Taltal,CL,-25.4,-70.48,70.05,68,37,7.11,scattered clouds
535,Ibrā’,OM,22.69,58.53,84.16,21,2,7.54,clear sky
536,Cabedelo,BR,-6.98,-34.83,82.4,89,75,12.66,broken clouds
537,Kemijärvi,FI,66.71,27.43,29.37,86,63,5.64,broken clouds
538,Puerto Nariño,CO,-3.77,-70.38,86.0,70,40,3.44,scattered clouds
539,Kjøllefjord,NO,70.95,27.35,33.48,76,100,21.3,snow
540,Korla,CN,41.76,86.15,49.84,30,85,13.38,overcast clouds
541,Maku,IR,39.29,44.45,45.46,60,44,7.18,scattered clouds
542,Zemio,CF,5.03,25.14,84.45,30,90,1.14,overcast clouds
543,Igrim,RU,63.19,64.42,29.98,99,100,4.0,light snow
544,Pestravka,RU,52.41,49.96,33.26,98,100,5.66,overcast clouds
545,Micoud,LC,13.82,-60.9,84.2,69,75,18.41,broken clouds
546,Hobyo,SO,5.35,48.53,83.21,72,7,13.56,clear sky
547,Bunia,CD,1.57,30.25,70.02,71,71,2.98,light rain
548,Santa Marta,CO,11.24,-74.2,91.0,58,100,11.21,overcast clouds
549,Soyo,AO,-6.13,12.37,78.1,90,100,13.02,moderate rain
550,Kalmunai,LK,7.42,81.82,80.2,86,41,1.59,scattered clouds
551,Aligoodarz,IR,33.4,49.69,43.93,30,0,12.53,clear sky
552,Aksarka,RU,66.56,67.8,13.64,96,18,6.44,few clouds
553,Gobabis,NA,-22.45,18.97,76.84,32,17,8.34,few clouds
554,Shakawe,BW,-18.37,21.85,75.24,43,5,5.57,clear sky
555,Canto do Buriti,BR,-8.11,-42.94,92.48,38,55,4.85,broken clouds
556,Abriaquí,CO,6.63,-76.06,65.37,73,100,1.34,overcast clouds
557,Paita,PE,-5.09,-81.11,82.4,61,0,9.22,clear sky
558,Jalu,LY,29.03,21.55,73.78,17,0,3.22,clear sky
559,Tallahassee,US,30.44,-84.28,64.99,27,20,10.36,few clouds
560,Dutlwe,BW,-23.98,23.9,81.63,24,10,8.14,clear sky
561,Slonim,BY,53.09,25.32,37.71,66,91,5.48,overcast clouds
562,Al Bardīyah,LY,31.76,25.09,64.78,47,0,6.35,clear sky
563,Verkhovazh'ye,RU,60.75,42.05,32.27,88,97,3.71,overcast clouds
564,Lucea,JM,18.45,-78.17,78.01,83,75,13.8,broken clouds
565,Kempten (Allgäu),DE,47.73,10.31,44.01,51,100,7.27,overcast clouds
566,Sjenica,RS,43.27,20.0,34.39,99,100,6.64,snow
567,Teguise,ES,29.06,-13.56,71.6,53,40,16.11,scattered clouds
568,Mossamedes,AO,-15.2,12.15,77.95,80,100,11.05,overcast clouds
569,Province of Trapani,IT,37.83,12.67,62.6,88,75,9.22,broken clouds
570,Portree,GB,57.41,-6.19,46.0,77,32,5.01,scattered clouds
571,Warrington,US,30.38,-87.28,66.0,36,20,13.8,few clouds
572,Lokosovo,RU,61.13,74.82,33.53,98,100,9.04,light snow
573,Edéia,BR,-17.34,-49.93,88.93,44,71,2.73,broken clouds
574,Ambilobe,MG,-13.2,49.05,75.97,89,16,2.33,few clouds
575,Ratnagiri,IN,16.98,73.3,78.75,72,41,1.72,scattered clouds
576,Qaqortoq,GL,60.72,-46.03,41.0,81,75,4.61,broken clouds
577,Guarujá,BR,-23.99,-46.26,82.0,78,75,3.44,broken clouds
578,Kāndri,IN,21.42,79.27,87.8,15,0,3.44,haze
579,Issoire,FR,45.55,3.25,53.6,40,0,14.97,clear sky
580,La Palma,PA,8.4,-78.15,79.95,84,98,8.05,overcast clouds
581,Zhezkazgan,KZ,47.8,67.71,40.84,56,82,17.52,broken clouds
582,Akasztó,HU,46.69,19.2,48.99,81,75,4.61,broken clouds
583,Bolshaya Glushitsa,RU,50.24,43.59,51.01,79,99,11.01,overcast clouds
584,Boca do Acre,BR,-8.75,-67.4,84.16,73,100,4.34,overcast clouds
585,Mahon,ES,39.89,4.27,62.6,45,0,9.22,clear sky
586,Chikhli,IN,20.35,76.25,86.4,17,16,8.19,few clouds
587,Talcahuano,CL,-36.72,-73.12,66.2,63,0,8.05,clear sky
588,Huambo,AO,-12.78,15.74,62.55,91,100,5.48,moderate rain
589,Road Town,VG,18.42,-64.62,84.2,65,75,10.36,broken clouds
590,Deer Lake,CA,49.17,-57.43,53.6,66,75,3.44,broken clouds
591,Honningsvåg,NO,70.98,25.97,34.32,79,99,31.32,light snow
592,Halifax,CA,44.65,-63.57,37.99,81,100,9.22,overcast clouds
593,Venice,US,27.1,-82.45,72.0,37,75,17.27,haze
594,Moa,CU,20.66,-74.94,74.7,84,97,14.29,overcast clouds
595,Paraná,BR,-24.0,-51.0,79.3,45,24,1.23,few clouds
596,Ouro Preto do Oeste,BR,-10.75,-62.22,83.55,76,78,3.53,broken clouds
597,Nachingwea,TZ,-10.38,38.77,69.22,90,100,2.06,overcast clouds
598,Dalmatovo,RU,56.26,62.94,32.49,89,100,11.18,overcast clouds
599,Banda Aceh,ID,5.56,95.32,80.26,75,83,10.65,broken clouds
600,Porto Novo,CV,17.02,-25.06,75.2,69,75,19.57,broken clouds
601,Sirte,LY,31.21,16.59,78.98,28,13,7.76,few clouds
602,Pindushi,RU,62.92,34.58,25.03,94,64,2.89,broken clouds
603,Nauta,PE,-4.51,-73.58,90.37,47,100,3.27,overcast clouds
604,Vila Velha,BR,-20.33,-40.29,82.99,74,20,13.8,few clouds
605,Pitsunda,GE,43.16,40.34,50.0,81,90,6.71,overcast clouds
606,Iracoubo,GF,5.48,-53.2,79.54,85,95,8.32,moderate rain
607,Nkawkaw,GH,6.55,-0.77,91.76,30,89,4.05,overcast clouds
608,Varzob,TJ,38.77,68.82,60.8,27,90,4.47,moderate rain
609,Tsiroanomandidy,MG,-18.77,46.03,68.05,75,4,1.74,clear sky
610,Sarakhs,IR,36.54,61.16,68.0,40,40,32.21,sand
611,Itacaré,BR,-14.28,-39.0,87.8,66,20,5.75,few clouds
612,Bull Savanna,JM,17.89,-77.59,81.55,58,19,4.36,few clouds
613,Molchanovo,RU,57.58,83.77,32.83,97,100,7.76,overcast clouds
614,Saint-Leu,RE,-21.15,55.28,78.8,83,20,4.61,light rain
615,Vitoria-Gasteiz,ES,42.85,-2.67,48.2,76,75,12.66,broken clouds
616,Šid,RS,45.13,19.23,48.99,57,0,11.5,clear sky
617,Szydłowiec,PL,51.23,20.86,39.0,53,91,5.01,overcast clouds
618,Divnomorskoye,RU,44.5,38.14,48.42,94,100,17.98,overcast clouds
619,Schönebeck,DE,52.02,11.75,48.99,40,56,8.01,broken clouds
620,Olafsvik,IS,64.89,-23.71,41.0,94,100,27.0,overcast clouds
621,Morondava,MG,-20.28,44.28,78.89,75,4,8.57,light rain
622,La Puebla de Cazalla,ES,37.22,-5.31,71.6,53,40,10.36,scattered clouds
623,Kandava,LV,57.04,22.77,35.98,69,53,9.15,broken clouds
624,Uşak Province,TR,38.5,29.42,50.79,62,35,9.35,scattered clouds
625,Marsá Maţrūḩ,EG,31.35,27.25,68.0,42,0,9.22,clear sky
626,Sumbe,AO,-11.21,13.84,81.81,83,97,10.45,overcast clouds
627,Bluefields,NI,12.01,-83.76,86.0,70,40,6.91,scattered clouds
628,Iralaya,HN,15.0,-83.23,86.0,74,40,9.22,scattered clouds
629,Glace Bay,CA,46.2,-59.96,36.0,100,90,13.8,moderate rain
630,Waverly,US,42.74,-84.62,57.2,33,1,20.71,clear sky
631,Landeck,AT,47.13,10.56,44.6,45,20,6.91,few clouds
632,Maceió,BR,-9.67,-35.74,86.0,66,75,11.5,broken clouds
633,Salisbury,US,35.67,-80.47,55.99,25,1,5.5,clear sky
634,Florián,CO,5.8,-73.97,69.6,83,92,3.36,overcast clouds
635,Malanje,AO,-9.54,16.34,68.23,91,100,3.27,moderate rain
636,Demidov,RU,55.27,31.52,37.17,81,93,4.79,overcast clouds
637,Saint-François,GP,16.25,-61.27,84.2,58,40,14.97,scattered clouds
638,Salta,AR,-24.79,-65.41,68.0,68,40,10.36,scattered clouds
639,Laguna,BR,-28.48,-48.78,74.86,65,11,9.22,few clouds
640,Lovozero,RU,68.0,35.01,18.09,91,89,5.88,overcast clouds
641,Sidrolândia,BR,-20.93,-54.96,87.8,45,40,5.75,scattered clouds
642,Koundara,GN,12.48,-13.3,105.26,11,30,3.33,scattered clouds
643,Comarapa,BO,-17.9,-64.48,61.52,85,100,4.32,overcast clouds
644,Lesnoy,RU,57.62,63.08,34.09,83,100,11.18,overcast clouds
645,Barranca,PE,-10.75,-77.77,74.79,68,72,10.98,broken clouds
646,Dumka,IN,24.27,87.25,83.03,7,0,4.27,clear sky
647,Mahanoro,MG,-19.9,48.8,76.01,75,3,1.45,clear sky
648,Beyneu,KZ,45.32,55.2,45.91,69,68,16.17,broken clouds
649,Antalaha,MG,-14.9,50.28,76.24,89,21,7.14,light rain
650,Araripe,BR,-7.21,-40.05,90.21,32,16,6.98,few clouds
651,Kāmāreddi,IN,18.32,78.35,86.36,13,38,2.71,scattered clouds
652,Kibre Mengist,ET,5.88,38.98,61.21,91,89,1.34,light rain
653,Kafue,ZM,-15.77,28.18,69.8,64,0,5.75,clear sky
654,Jamame,SO,0.07,42.75,82.92,78,62,8.81,light rain
655,Gari,RU,59.43,62.35,35.31,90,64,10.92,broken clouds
656,Vyartsilya,RU,62.18,30.69,29.57,90,69,4.07,broken clouds
657,Mīāndoāb,IR,36.97,46.1,41.0,75,20,2.3,few clouds
658,Yumbe,UG,3.47,31.25,70.57,71,67,8.68,broken clouds
659,Yar-Sale,RU,66.83,70.83,18.37,98,80,8.57,broken clouds
660,Cap-Chat,CA,49.1,-66.68,26.6,80,100,17.27,overcast clouds
661,Gasa,BT,27.9,89.73,37.29,95,97,3.06,overcast clouds
662,Luebo,CD,-5.35,21.42,72.93,94,97,1.3,moderate rain
663,Dhidhdhoo,MV,6.88,73.1,83.93,66,38,11.54,scattered clouds
664,Mpanda,TZ,-6.37,31.04,66.99,94,47,0.89,light rain
665,Lamu,KE,-2.27,40.9,84.2,79,75,8.05,broken clouds
666,Vardø,NO,70.37,31.11,30.2,86,0,21.85,clear sky
667,Jega,NG,12.22,4.38,98.4,5,1,9.66,clear sky
668,Charagua,BO,-19.8,-63.22,71.6,78,90,7.72,overcast clouds
669,Diffa,NE,13.32,12.61,87.51,8,0,9.35,clear sky
670,Sinnamary,GF,5.38,-52.95,80.87,81,96,9.01,heavy intensity rain
671,Kushmurun,KZ,52.45,64.63,34.05,83,96,12.19,overcast clouds
672,Jacareacanga,BR,-6.22,-57.75,91.74,46,68,4.68,broken clouds
673,Sredneuralsk,RU,56.99,60.47,39.2,65,0,11.18,clear sky
674,Oussouye,SN,12.48,-16.55,100.4,78,0,4.61,clear sky
675,Sept-Îles,CA,50.2,-66.38,30.0,50,75,13.8,broken clouds
676,Syracuse,US,43.05,-76.15,46.4,27,20,8.05,few clouds
677,Huarmey,PE,-10.07,-78.15,75.25,73,50,9.84,scattered clouds
678,Kaman,TR,39.36,33.72,49.62,54,96,3.62,overcast clouds
679,Bonavista,CA,48.65,-53.11,57.2,54,96,6.91,overcast clouds
680,Key Largo,US,25.09,-80.45,72.0,49,93,8.99,overcast clouds
681,Riyadh,SA,24.69,46.72,75.2,15,3,18.41,clear sky
682,Cockburn Town,BS,24.03,-74.52,70.52,69,100,27.36,overcast clouds
683,Darnah,LY,32.77,22.64,69.12,42,0,7.63,clear sky
684,Nikel,RU,69.41,30.22,33.8,69,100,14.97,overcast clouds
685,Tikrit,IQ,34.61,43.68,64.35,32,4,7.7,clear sky
686,Nārsingi,IN,18.03,78.43,89.01,44,33,5.19,scattered clouds
687,Villarrica,CL,-39.29,-72.23,66.2,63,0,5.75,clear sky
688,Surenavan,AM,39.75,44.8,53.6,32,52,6.91,broken clouds
689,Kharan,PK,28.58,65.42,84.78,11,0,5.21,clear sky
690,Dukhovshchina,RU,55.19,32.41,35.42,88,100,3.33,overcast clouds
691,Jardim,BR,-21.48,-56.14,96.31,29,83,4.05,broken clouds
692,Øksfjord,NO,70.24,22.35,37.4,60,90,11.5,light rain
693,Lithakia,GR,37.72,20.83,60.8,77,40,10.36,scattered clouds
694,Hornepayne,CA,49.21,-84.77,44.56,65,93,9.42,overcast clouds
695,Altay,CN,47.87,88.12,30.22,33,0,10.07,clear sky
696,Les Cayes,HT,18.2,-73.75,84.15,57,17,10.74,few clouds
697,Caconda,AO,-13.73,15.07,64.22,86,93,5.86,light rain
698,La Sarre,CA,48.8,-79.2,37.74,46,100,9.26,overcast clouds
699,Ust'-Koksa,RU,50.27,85.61,21.6,71,0,2.15,clear sky
700,Rāichūr,IN,16.2,77.37,90.7,17,42,7.43,scattered clouds
701,Mampong,GH,7.06,-1.4,90.45,35,85,2.15,overcast clouds
